ticker,date,close
005930,2021-01-04,83000.0
005930,2021-01-05,83900.0
005930,2021-01-06,82200.0
005930,2021-01-07,82900.0
005930,2021-01-08,88800.0
005930,2021-01-11,91000.0
005930,2021-01-12,90600.0
005930,2021-01-13,89700.0
005930,2021-01-14,89700.0
005930,2021-01-15,88000.0
005930,2021-01-18,85000.0
005930,2021-01-19,87000.0
005930,2021-01-20,87200.0
005930,2021-01-21,88100.0
005930,2021-01-22,86800.0
005930,2021-01-25,89400.0
005930,2021-01-26,86700.0
005930,2021-01-27,85600.0
005930,2021-01-28,83700.0
005930,2021-01-29,82000.0
005930,2021-02-01,83000.0
005930,2021-02-02,84400.0
005930,2021-02-03,84600.0
005930,2021-02-04,82500.0
005930,2021-02-05,83500.0
005930,2021-02-08,83000.0
005930,2021-02-09,82700.0
005930,2021-02-10,81600.0
005930,2021-02-15,84200.0
005930,2021-02-16,84900.0
005930,2021-02-17,83200.0
005930,2021-02-18,82100.0
005930,2021-02-19,82600.0
005930,2021-02-22,82200.0
005930,2021-02-23,82000.0
005930,2021-02-24,82000.0
005930,2021-02-25,85300.0
005930,2021-02-26,82500.0
005930,2021-03-02,83600.0
005930,2021-03-03,84000.0
005930,2021-03-04,82400.0
005930,2021-03-05,82100.0
005930,2021-03-08,82000.0
005930,2021-03-09,81400.0
005930,2021-03-10,80900.0
005930,2021-03-11,82000.0
005930,2021-03-12,82800.0
005930,2021-03-15,81800.0
005930,2021-03-16,82800.0
005930,2021-03-17,82300.0
005930,2021-03-18,82900.0
005930,2021-03-19,81900.0
005930,2021-03-22,82000.0
005930,2021-03-23,81800.0
005930,2021-03-24,81000.0
005930,2021-03-25,81200.0
005930,2021-03-26,81500.0
005930,2021-03-29,81600.0
005930,2021-03-30,82200.0
005930,2021-03-31,81400.0
005930,2021-04-01,82900.0
005930,2021-04-02,84800.0
005930,2021-04-05,85400.0
005930,2021-04-06,86000.0
005930,2021-04-07,85600.0
005930,2021-04-08,84700.0
005930,2021-04-09,83600.0
005930,2021-04-12,83200.0
005930,2021-04-13,84000.0
005930,2021-04-14,84000.0
005930,2021-04-15,84100.0
005930,2021-04-16,83900.0
005930,2021-04-19,83300.0
005930,2021-04-20,83900.0
005930,2021-04-21,82600.0
005930,2021-04-22,82400.0
005930,2021-04-23,82800.0
005930,2021-04-26,83500.0
005930,2021-04-27,82900.0
005930,2021-04-28,82100.0
005930,2021-04-29,81700.0
005930,2021-04-30,81500.0
005930,2021-05-03,81700.0
005930,2021-05-04,82600.0
005930,2021-05-06,82300.0
005930,2021-05-07,81900.0
005930,2021-05-10,83200.0
005930,2021-05-11,81200.0
005930,2021-05-12,80000.0
005930,2021-05-13,78500.0
005930,2021-05-14,80100.0
005930,2021-05-17,79600.0
005930,2021-05-18,79600.0
005930,2021-05-20,79500.0
005930,2021-05-21,80100.0
005930,2021-05-24,79700.0
005930,2021-05-25,79900.0
005930,2021-05-26,79800.0
005930,2021-05-27,79600.0
005930,2021-05-28,80100.0
005930,2021-05-31,80500.0
005930,2021-06-01,80600.0
005930,2021-06-02,80800.0
005930,2021-06-03,82800.0
005930,2021-06-04,82200.0
