model,_acc_delta,n_test,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,ic_mean,ic_std,rank_ic_mean,rank_ic_std,decile_spread_mean,decile_spread_std
decision_tree,0.030978835978835884,112,0.536494708994709,0.06496732408217766,0.575,0.10405021038417817,0.3944988344988345,0.0741687580281498,0.4586586030293124,0.0541590995327929,0.5338167714638303,0.054485551143850015,0.13831725460409838,0.19972344992785745,0.15786960611733453,0.15998814398856157,-3.3064157918049077,19.243344253553513
naive_bayes,0.06394179894179886,112,0.5694576719576719,0.11195447442948933,0.5921080368906455,0.14168704698524623,0.7012198912198911,0.2083525136473541,0.6039223246653587,0.12933186349801234,0.5913780990251579,0.0902177684715401,0.0767489274943071,0.257731940978908,0.14372207553330005,0.17428430334905484,-2.7865048511983206,17.02377241591754
gaussian_process,0.05142857142857138,112,0.5569444444444445,0.060921422776281396,0.58,0.12506324930422452,0.6177622377622378,0.1628995691693822,0.5748713450292398,0.07577197202441271,0.5391970774323716,0.03599397406219314,0.061863901549442414,0.2095934200874971,0.1374023639015062,0.14248924803290067,0.6500150968514233,15.819057044686966
hist_grad_boost,0.013333333333333197,112,0.5188492063492063,0.03400911723978704,0.5019047619047619,0.09831228876620145,0.6398601398601398,0.28739283087439027,0.5367390249818094,0.16502005604311873,0.5538774950539657,0.09316234108253271,-0.003116097968090953,0.11789098913848482,0.10918645438948522,0.15865124383084092,-10.203989488015633,12.889296842489719
knn,0.03186507936507921,112,0.5373809523809523,0.0868227851381675,0.5446035805626599,0.08867198033623236,0.7695104895104895,0.1445987765851602,0.6224761904761905,0.058984912940925206,0.5782819794584501,0.08869325799639846,-0.0026048890067064704,0.140515867309599,0.10314139589915086,0.1918119500987092,-8.780523488944079,13.455713632441158
svm_rbf,0.06253968253968245,112,0.5680555555555555,0.05422005915539758,0.5809803921568627,0.12801624272183257,0.622074592074592,0.20319238617387686,0.5758395989974938,0.10543649649730243,0.5310503875209758,0.021188212249934574,0.04315217939353701,0.27508365975069266,0.1019087328042982,0.11855078354815227,4.4615362314251605,22.171277756756858
random_forest,0.04960317460317443,112,0.5551190476190475,0.06204811444291347,0.5842857142857143,0.0917405391885847,0.43618492618492616,0.11723259801830177,0.4881257442248154,0.08826366351274093,0.5039962651727358,0.07374362721781014,0.02715083021972279,0.13737326973469394,0.07358375353518368,0.08395401279177085,3.229522305434421,4.6456003426300505
voting_soft,0.0037962962962961866,112,0.5093121693121693,0.03057377088244756,0.5054145854145854,0.08418695638461915,0.48494172494172494,0.24572066673880355,0.46728291316526616,0.13924047144794438,0.5402195843372314,0.09023412136996489,-0.018737304282138722,0.16287455798284362,0.06974447058241574,0.16122365692453985,-4.921062177166845,11.618644065141657
extra_trees,0.01468253968253963,112,0.5201984126984127,0.09107228446532142,0.5576923076923077,0.09730085108210398,0.4641569541569542,0.09711091613645212,0.4904546433958198,0.042513519876926156,0.4759762133291545,0.10977491620786096,0.05427605771183337,0.21623130575287924,0.06585624537416143,0.19619949690800753,-4.757771609336924,14.444717583790284
grad_boost,-0.004656084656084691,112,0.5008597883597884,0.06586836748648744,0.5192424242424243,0.08097432394691122,0.4692463092463092,0.20709180834536572,0.4658823529411765,0.10136780813429655,0.4979912244618127,0.0925194481174995,0.05919300341223592,0.20891839916890484,0.06257336541242439,0.21124832805787444,-9.061705972758647,18.544810392574764
lda,0.054933862433862335,112,0.5604497354497354,0.10197340372806646,0.5591307814992026,0.12081876596784183,0.6374592074592075,0.1868888819822439,0.5828918990209313,0.12175437631282539,0.5119863143392556,0.09735774978160888,-0.07885510742485974,0.2112072734526041,0.011681203154460324,0.22088475719673248,2.9949376826472367,4.653634245549181
logistic,0.04402116402116396,112,0.549537037037037,0.12272972636603584,0.5530701754385965,0.1308194454227196,0.6152369852369852,0.188691954127459,0.5694404267459297,0.12909346146081208,0.5101681325210737,0.10064980130604123,-0.07434155142048152,0.22191248038972697,0.010368563265969044,0.22786100764379275,2.9949376826472367,4.653634245549181
ridge,0.045410052910052845,112,0.5509259259259259,0.11908141789461317,0.5530701754385965,0.1308194454227196,0.6374592074592075,0.1868888819822439,0.5794286955577277,0.12755711873862843,0.5101681325210737,0.10064980130604123,-0.1298865302431657,0.16148038791283612,0.00830457977783694,0.22672753746347593,2.9949376826472367,4.653634245549181
stacking,-0.017777777777777948,112,0.48773809523809514,0.0630780649485366,0.4993856048166393,0.07069555117968271,0.9482517482517483,0.0715340523219268,0.648856433888692,0.05306318773371265,0.453381455146161,0.10074560528725664,-0.1949620814843916,0.05245320846045738,-0.16511564498305872,0.15404200733114268,5.566325152597161,18.63348021662449
baseline_majority,0.0,112,0.5055158730158731,0.06956660457184419,0.5055158730158731,0.06956660457184419,1.0,0.0,0.6687635516306133,0.060359348690722285,0.5,0.0,nan,nan,nan,nan,-5.597321208093857,14.633624120276691
baseline_stratified,0.00230158730158736,112,0.5078174603174604,0.04785714285714287,0.5175438596491228,0.08058725668670773,0.5743900543900543,0.07559698636853576,0.5374942704354468,0.04691291260300923,0.514610356963298,0.04861770292665073,0.08604176365728686,0.1526841075742009,0.1063963565779746,0.17472619325370461,2.369694299274479,10.40540233061359
