ticker,date,close
005930,2016-01-04,24100.0
005930,2016-01-05,24160.0
005930,2016-01-06,23500.0
005930,2016-01-07,23260.0
005930,2016-01-08,23420.0
005930,2016-01-11,23040.0
005930,2016-01-12,22920.0
005930,2016-01-13,22960.0
005930,2016-01-14,22760.0
005930,2016-01-15,22640.0
005930,2016-01-18,22520.0
005930,2016-01-19,23420.0
005930,2016-01-20,22760.0
005930,2016-01-21,22620.0
005930,2016-01-22,23360.0
005930,2016-01-25,23240.0
005930,2016-01-26,22740.0
005930,2016-01-27,23500.0
005930,2016-01-28,22900.0
005930,2016-01-29,23000.0
005930,2016-02-01,23260.0
005930,2016-02-02,23120.0
005930,2016-02-03,22920.0
005930,2016-02-04,23120.0
005930,2016-02-05,23280.0
005930,2016-02-11,22600.0
005930,2016-02-12,22600.0
005930,2016-02-15,23080.0
005930,2016-02-16,23360.0
005930,2016-02-17,23700.0
005930,2016-02-18,23740.0
005930,2016-02-19,23800.0
005930,2016-02-22,23500.0
005930,2016-02-23,23620.0
005930,2016-02-24,23440.0
005930,2016-02-25,23580.0
005930,2016-02-26,23440.0
005930,2016-02-29,23560.0
005930,2016-03-02,23940.0
005930,2016-03-03,24400.0
005930,2016-03-04,24300.0
005930,2016-03-07,24460.0
005930,2016-03-08,23840.0
005930,2016-03-09,23880.0
005930,2016-03-10,24500.0
005930,2016-03-11,24980.0
005930,2016-03-14,25100.0
005930,2016-03-15,25060.0
005930,2016-03-16,25120.0
005930,2016-03-17,25260.0
005930,2016-03-18,25460.0
005930,2016-03-21,25340.0
005930,2016-03-22,25380.0
005930,2016-03-23,25580.0
005930,2016-03-24,25640.0
005930,2016-03-25,25760.0
005930,2016-03-28,25880.0
005930,2016-03-29,25800.0
005930,2016-03-30,26160.0
005930,2016-03-31,26240.0
005930,2016-04-01,25580.0
005930,2016-04-04,26100.0
005930,2016-04-05,25200.0
005930,2016-04-06,25700.0
005930,2016-04-07,25380.0
005930,2016-04-08,24920.0
005930,2016-04-11,25320.0
005930,2016-04-12,25500.0
005930,2016-04-14,26000.0
005930,2016-04-15,26000.0
005930,2016-04-18,25980.0
005930,2016-04-19,25760.0
005930,2016-04-20,25980.0
005930,2016-04-21,25880.0
005930,2016-04-22,25600.0
005930,2016-04-25,25620.0
005930,2016-04-26,25920.0
005930,2016-04-27,26000.0
005930,2016-04-28,25300.0
005930,2016-04-29,24900.0
005930,2016-05-02,25000.0
005930,2016-05-03,25220.0
005930,2016-05-04,25800.0
005930,2016-05-09,25980.0
005930,2016-05-10,25920.0
005930,2016-05-11,25840.0
005930,2016-05-12,25620.0
005930,2016-05-13,25060.0
005930,2016-05-16,24960.0
005930,2016-05-17,25280.0
005930,2016-05-18,25360.0
005930,2016-05-19,25400.0
005930,2016-05-20,25380.0
005930,2016-05-23,25720.0
005930,2016-05-24,25420.0
005930,2016-05-25,25900.0
005930,2016-05-26,25920.0
005930,2016-05-27,25640.0
005930,2016-05-30,25600.0
005930,2016-05-31,25840.0
005930,2016-06-01,26660.0
005930,2016-06-02,27300.0
005930,2016-06-03,27540.0
005930,2016-06-07,27960.0
005930,2016-06-08,28120.0
005930,2016-06-09,28600.0
005930,2016-06-10,28120.0
005930,2016-06-13,27420.0
