model,_acc_delta,n_test,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,ic_mean,ic_std,rank_ic_mean,rank_ic_std,decile_spread_mean,decile_spread_std
hist_grad_boost,-0.03196581196581183,110,0.4878876678876679,0.09990197070312036,0.5185714285714286,0.12129684732122276,0.6589393939393939,0.27562867450163786,0.5409478424801005,0.15563279208347688,0.5076132756132756,0.05992524485925695,0.07554907104106875,0.11278606701895919,0.04884007334583066,0.18492050069940455,-1.1814851914317568,3.4204322580000714
gaussian_process,0.005567765567765726,110,0.5254212454212455,0.13755709800684623,0.5201298701298702,0.1581058824408666,0.6040909090909091,0.21942595614368055,0.5508347940289864,0.1774072101426375,0.5025569985569985,0.14146416485740332,0.026323643809967386,0.26754589958376307,0.04334787426709207,0.24586232718205475,5.919402913375053,15.12969316332773
naive_bayes,0.017216117216117377,110,0.5370695970695971,0.10072831159699722,0.5245751633986928,0.0955300700078563,0.5706060606060606,0.30020439929995196,0.5171428571428571,0.19493821336382064,0.5595194805194805,0.16049961555300804,0.03668331719444638,0.24489018577246038,0.031052160185355154,0.21823197141278694,-2.7416635601861303,9.294886295762863
extra_trees,0.04158730158730162,110,0.5614407814407814,0.12446123447457798,0.6114285714285714,0.19960931228532502,0.5157575757575757,0.15509291033322256,0.5419191919191919,0.14507877949573975,0.4832005772005772,0.12666322519791604,-0.03389166518590988,0.23521947740640384,-0.00020996951559364429,0.2080953917879047,-4.819156106610587,13.316732216644196
svm_rbf,-0.03545787545787549,110,0.48439560439560425,0.12644136847624252,0.46799305957200693,0.14498126982778894,0.6424242424242425,0.313609280048596,0.5261892583120205,0.20244485227067657,0.4870649350649351,0.17567319461647987,-0.0008221758114172861,0.2843696908775884,-0.01803788955920308,0.26158949496056433,4.333083514978764,11.474651068731804
lda,0.028009768009768177,110,0.5478632478632479,0.1375447117815169,0.5950508624502432,0.176405110788262,0.6321212121212121,0.22580007734969773,0.5717241379310345,0.15602464988810083,0.5158658008658009,0.25808776924857085,-0.057107049861298186,0.3594603575862886,-0.04122275961311079,0.3729309244521578,2.081595271258469,13.551778104668776
knn,0.00017094017094032576,110,0.5200244200244201,0.11167282774322697,0.5219225872167048,0.11034965625033442,0.7389393939393939,0.26526041053924543,0.5880126150846479,0.1617515088191301,0.4443556998556999,0.21703451440606922,-0.0839492853597628,0.3947295432747972,-0.04273403781816682,0.3967214371048173,-5.383888753015411,17.998681064936992
ridge,0.016898656898657105,110,0.5367521367521368,0.13418966736444218,0.590639097744361,0.17532177277586292,0.6154545454545455,0.20642659120712165,0.5628571428571428,0.14609505184069582,0.5118759018759019,0.257785798815284,-0.12932478525218272,0.3430938968820779,-0.04953392419672119,0.37362127329039907,2.081595271258469,13.551778104668776
logistic,0.016898656898657105,110,0.5367521367521368,0.13418966736444218,0.590639097744361,0.17532177277586292,0.6154545454545455,0.20642659120712165,0.5628571428571428,0.14609505184069582,0.5064314574314575,0.2571091306269663,-0.04867843988850231,0.3614684461099146,-0.051523797132020245,0.3733553359660528,1.5563348161291615,13.612460935443277
voting_soft,-0.004590964590964419,110,0.5152625152625153,0.17041854828409425,0.5775990675990677,0.20285314449600161,0.5954545454545455,0.22097538183149254,0.5446830625091494,0.16962293011192114,0.47552236652236657,0.21471129085711158,-0.021955534292319057,0.34929308718523905,-0.05440822959105054,0.3415557557170626,5.996480602322457,14.453449836743346
grad_boost,0.0003907203907206336,110,0.5202442002442004,0.06698272479889093,0.545718462823726,0.15585064015720446,0.46878787878787875,0.18520482295631774,0.48362318840579704,0.13813928357899088,0.4948917748917749,0.10968658612490371,-0.056223741560147956,0.19916347593625722,-0.05903117735440529,0.16991870182900218,0.28754652841888556,15.467357108293506
random_forest,-0.08190476190476181,110,0.4379487179487179,0.11055297027825102,0.5044444444444445,0.18075288362366893,0.4372727272727273,0.12136202851429932,0.4426989102851172,0.07281922805753102,0.39629004329004325,0.14606630242653335,-0.06893323754517748,0.2642988725020244,-0.10147225601861791,0.24446688398317878,-0.05146346010164695,8.752926641206432
decision_tree,-0.10554334554334538,110,0.41431013431013436,0.10269581054359549,0.4193253968253968,0.14886420159495328,0.3025757575757576,0.12090263520397468,0.33953966111860845,0.11390165577683005,0.4196861471861473,0.10105642207336737,-0.08851190912890455,0.2280212238645906,-0.1050131609841197,0.21162050312323163,-8.844440680731498,10.589008164630267
stacking,-0.053479853479853345,110,0.4663736263736264,0.13625140753238457,0.47426573426573426,0.12740087642359763,0.8254545454545454,0.2375077206226608,0.5989986824769433,0.16151800116158882,0.3172279942279942,0.13406168141108846,-0.26424427868164335,0.18527595539659253,-0.26264099832763665,0.20896229701361266,-10.151008944327673,10.002346541134642
baseline_majority,0.0,110,0.5198534798534797,0.08173388375059161,0.5198534798534797,0.08173388375059161,1.0,0.0,0.680414945099377,0.06830772488270068,0.5,0.0,nan,nan,nan,nan,-9.375456303898265,7.932403526881336
baseline_stratified,-0.04207570207570199,110,0.47777777777777775,0.13626408637116347,0.4919303065355697,0.14767891794833443,0.5606060606060606,0.17932379873677792,0.5175578461511965,0.14898715149136033,0.48008658008658,0.136973709175533,-0.053942733859882894,0.24015632216928193,-0.03513282497209798,0.2383164601856214,-1.5872270727450275,10.435798447365718
