rank,code,name,px,bytes,source
121,069960,현대백화점,480x480,11086,toss
58,071050,한국금융지주,480x480,17668,toss
171,071970,HD현대마린엔진,480x480,13664,toss
161,073240,금호타이어,480x480,20921,toss
78,078930,GS,480x480,39692,toss
47,079550,LIG디펜스앤에어로스페이스,480x480,1783,toss
155,081660,미스토홀딩스,480x480,12309,toss
116,082740,한화엔진,480x480,4324,toss
151,085620,미래에셋생명,160x160,6616,toss
53,086280,현대글로비스,480x480,17626,toss
20,086790,하나금융지주,480x480,1799,toss
111,088350,한화생명,480x480,26854,toss
104,088980,맥쿼리인프라,480x480,7172,toss
,089860,롯데렌탈,480x480,2767,toss
79,090430,아모레퍼시픽,480x480,90147,toss
198,093370,후성,480x480,17640,toss
44,096770,SK이노베이션,480x480,16321,toss
192,097230,HJ중공업,480x480,22560,toss
136,097950,CJ제일제당,480x480,7055,toss
,100090,SK오션플랜트,480x480,2219,toss
181,103140,풍산,480x480,17308,toss
125,103590,일진전기,480x480,27468,toss
9,105560,KB금융,480x480,23551,toss
,108320,실리콘웍스(LX세미콘),480x480,11016,toss
115,111770,영원무역,480x480,18645,toss
188,112610,씨에스윈드,480x480,18373,toss
187,120110,코오롱인더,480x480,15175,toss
102,128940,한미약품,480x480,4226,toss
,137310,에스디바이오센서,480x480,22382,toss
39,138040,메리츠금융지주,480x480,12458,toss
94,138930,BNK금융지주,480x480,8846,toss
134,139130,iM금융지주,480x480,2671,toss
160,139480,이마트,480x480,12718,toss
,145720,덴티움,480x480,18393,toss
73,161390,한국타이어앤테크놀로지,480x480,14072,toss
148,161890,한국콜마,480x480,18532,toss
103,175330,JB금융지주,480x480,13139,toss
70,180640,한진칼,480x480,16411,toss
,185750,종근당,480x480,43901,toss
175,192820,코스맥스,480x480,43865,toss
156,204320,HL만도,480x480,1756,toss
10,207940,삼성바이오로직스,480x480,18570,toss
,228850,레이언스,480x480,17114,toss
,240810,원익IPS,480x480,21644,toss
88,241560,두산밥캣,400x400,2154,toss
,247540,에코프로비엠,480x480,14536,toss
,248070,솔루엠,480x480,27855,toss
127,251270,넷마블,480x480,65496,toss
,253450,스튜디오드래곤,480x480,23333,toss
63,259960,크래프톤,480x480,14067,toss
48,267250,HD현대,480x480,2258,toss
22,267260,HD현대일렉트릭,480x480,2258,toss
87,267270,HD건설기계,480x480,2258,toss
97,271560,오리온,480x480,18552,toss
59,272210,한화시스템,480x480,24364,toss
55,278470,에이피알,480x480,3658,toss
159,279570,케이뱅크,480x480,25091,toss
,280360,롯데웰푸드,480x480,18656,toss
174,281820,케이씨텍,480x480,10664,toss
167,282330,BGF리테일,480x480,2518,toss
,285130,SK케미칼,480x480,16321,toss
,298020,효성티앤씨,480x480,15823,toss
27,298040,효성중공업,480x480,15823,toss
,298050,HS효성첨단소재,2995x501,23165,toss
,299030,하나기술,480x480,17259,toss
135,302440,SK바이오사이언스,480x480,16355,toss
60,307950,현대오토에버,480x480,17626,toss
33,316140,우리금융지주,480x480,5543,toss
64,323410,카카오뱅크,480x480,8620,toss
84,326030,SK바이오팜,480x480,16321,toss
13,329180,HD현대중공업,480x480,2258,toss
128,336260,두산퓨얼셀,400x400,2154,toss
69,352820,하이브,480x480,8530,toss
89,353200,대덕전자,480x480,12207,toss
,361610,SK아이이테크놀로지,480x480,16346,toss
7,373220,LG에너지솔루션,480x480,42268,toss
152,375500,DL이앤씨,480x480,10513,toss
101,377300,카카오페이,481x480,13808,toss
133,383220,F&F,480x480,12882,toss
183,395400,SK리츠,480x480,2387,toss
3,402340,SK스퀘어,480x480,2337,toss
179,439260,대한조선,480x480,5714,toss
72,443060,HD현대마린솔루션,480x480,1921,toss
142,450080,에코프로머티,480x480,1993,toss
105,454910,두산로보틱스,400x400,1723,toss
,456040,OCI,480x480,2979,toss
176,457190,이수스페셜티케미컬,480x480,1189,toss
169,462870,시프트업,480x480,1617,toss
197,475150,SK이터닉스,480x480,2387,toss
153,483650,달바글로벌,480x480,4624,toss
158,489790,한화비전,480x480,4303,toss
194,610063,메리츠 KIS CD금리투자 ETN,480x480,3304,toss
